 Zip Code ,San Francisco Neighborhood 
94102 ,Hayes Valley/Civic Center/ Tenderloin 
94103 ,South of Market 
94104 ,Financial District 
94105 ,Rincon Hill 
94107 ,Potrero Hill/SOMA 
94108 ,Chinatown 
94109 ,Polk/Russian Hill/Nob Hill 
94110 ,Mission District/Bernal Heights 
94111 ,Embarcadero 
94112 ,Ingleside/Excelsior 
94114 ,Castro/Noe Valley 
94115 ,Western Addition/Japantown 
94116 ,Sunset/Parkside/Forest Hill 
94117 ,Haight-Ashbury 
94118 ,Inner Richmond 
94121 ,Outer Richmond 
94122 ,Sunset 
94123 ,Marina/Cow Hollow 
94124 ,Bayview/Hunters Point 
94127 ,St. Francis Wood/Miraloma/ West Portal 
94129 ,Presidio 
94130 ,Treasure Island 
94131 ,Twin Peaks/Glen Park 
94132 ,Lake Merced/Lakeside 
94133 ,North Beach 
94134 ,Visitacion Valley 
94158 ,Mission Bay 