zip_code,Land_Area_SqMeters,Land_Area_SqMiles,Land_Area_SqKilometers
94102,"1,737,490",1,2
94103,"3,512,160",1,4
94104,"200,977",0,0
94105,"956,710",0,1
94107,"4,640,750",2,5
94108,"699,434",0,1
94109,"3,076,630",1,3
94110,"6,022,590",2,6
94111,"891,185",0,1
94112,"8,712,510",3,9
94114,"3,691,500",1,4
94115,"2,889,750",1,3
94116,"6,696,580",3,7
94117,"4,370,660",2,4
94118,"5,047,350",2,5
94121,"7,981,770",3,8
94122,"6,122,510",2,6
94123,"2,643,370",1,3
94124,"12,759,600",5,13
94127,"4,585,460",2,5
94129,"5,968,620",2,6
94130,"2,333,740",1,2
94131,"5,386,050",2,5
94132,"8,055,030",3,8
94133,"1,955,570",1,2
94134,"6,215,360",2,6
94158,"1,702,950",1,2